title,budget,revenue,release_date,genres,release_year,genre
Toy Story,30000000.0,373554033.0,1995-10-30,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1995,Animation
Jumanji,65000000.0,262797249.0,1995-12-15,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",1995,Adventure
Waiting to Exhale,16000000.0,81452156.0,1995-12-22,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995,Comedy
Heat,60000000.0,187436818.0,1995-12-15,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1995,Action
Sudden Death,35000000.0,64350171.0,1995-12-22,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",1995,Action
GoldenEye,58000000.0,352194034.0,1995-11-16,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",1995,Adventure
The American President,62000000.0,107879496.0,1995-11-17,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995,Comedy
Nixon,44000000.0,13681765.0,1995-12-22,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",1995,History
Cutthroat Island,98000000.0,10017322.0,1995-12-22,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",1995,Action
Casino,52000000.0,116112375.0,1995-11-22,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",1995,Drama
Sense and Sensibility,16500000.0,135000000.0,1995-12-13,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995,Drama
Four Rooms,4000000.0,4300000.0,1995-12-09,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",1995,Crime
Ace Ventura: When Nature Calls,30000000.0,212385533.0,1995-11-10,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",1995,Crime
Money Train,60000000.0,35431113.0,1995-11-21,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",1995,Action
Get Shorty,30250000.0,115101622.0,1995-10-20,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",1995,Comedy
Assassins,50000000.0,30303072.0,1995-10-06,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",1995,Action
Leaving Las Vegas,3600000.0,49800000.0,1995-10-27,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995,Drama
Now and Then,12000000.0,27400000.0,1995-10-20,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1995,Comedy
The City of Lost Children,18000000.0,1738611.0,1995-05-16,"[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",1995,Fantasy
Twelve Monkeys,29500000.0,168840000.0,1995-12-29,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",1995,Science Fiction
Babe,30000000.0,254134910.0,1995-07-18,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1995,Fantasy
Dead Man Walking,11000000.0,39363635.0,1995-12-29,"[{'id': 18, 'name': 'Drama'}]",1995,Drama
Mortal Kombat,18000000.0,122195920.0,1995-08-18,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",1995,Action
To Die For,20000000.0,21284514.0,1995-05-20,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",1995,Fantasy
How To Make An American Quilt,10000000.0,23574130.0,1995-10-06,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995,Drama
Se7en,33000000.0,327311859.0,1995-09-22,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1995,Crime
Pocahontas,55000000.0,346079773.0,1995-06-14,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1995,Adventure
The Usual Suspects,6000000.0,23341568.0,1995-07-19,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",1995,Drama
Mighty Aphrodite,15000000.0,6700000.0,1995-09-13,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1995,Comedy
Friday,3500000.0,28215918.0,1995-04-26,"[{'id': 35, 'name': 'Comedy'}]",1995,Comedy
From Dusk Till Dawn,19000000.0,25836616.0,1996-01-19,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",1996,Horror
Fair Game,50000000.0,11534477.0,1995-11-03,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",1995,Action
Big Bully,15000000.0,2042530.0,1996-01-26,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1996,Comedy
Screamers,20000000.0,5781885.0,1995-09-08,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",1995,Horror
Things to Do in Denver When You're Dead,8000000.0,529766.0,1995-12-01,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",1995,Drama
White Squall,38000000.0,10300000.0,1996-02-02,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",1996,Action
Nick of Time,8169363.0,8175346.0,1995-11-22,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1995,Crime
Mary Reilly,47000000.0,12379402.0,1996-02-23,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",1996,Drama
Vampire in Brooklyn,14000000.0,19800000.0,1995-10-26,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",1995,Comedy
Broken Arrow,50000000.0,150270147.0,1996-02-09,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1996,Action
Bottle Rocket,7000000.0,560069.0,1996-02-21,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1996,Comedy
Happy Gilmore,12000000.0,41205099.0,1996-02-16,"[{'id': 35, 'name': 'Comedy'}]",1996,Comedy
The Bridges of Madison County,24000000.0,182016617.0,1995-05-28,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995,Drama
Braveheart,72000000.0,210000000.0,1995-05-24,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",1995,Action
Taxi Driver,1300000.0,28262574.0,1976-02-07,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1976,Crime
Rumble in the Bronx,7500000.0,32392047.0,1995-01-30,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",1995,Crime
Steal Big Steal Little,25000000.0,6278139.0,1995-09-29,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1995,Comedy
Boomerang,40000000.0,70100000.0,1992-06-30,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1992,Comedy
Flirting with Disaster,7000000.0,14702438.0,1996-03-22,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1996,Comedy
Jade,50000000.0,9851610.0,1995-10-13,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",1995,Action
The Birdcage,31000000.0,185260553.0,1996-03-08,"[{'id': 35, 'name': 'Comedy'}]",1996,Comedy
Bad Boys,19000000.0,141407024.0,1995-04-07,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",1995,Action
An Awfully Big Adventure,4000000.0,851545.0,1995-07-21,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",1995,Romance
Apollo 13,52000000.0,355237933.0,1995-06-30,"[{'id': 18, 'name': 'Drama'}]",1995,Drama
Rob Roy,28000000.0,31596911.0,1995-04-13,"[{'id': 12, 'name': 'Adventure'}]",1995,Adventure
Batman Forever,100000000.0,336529144.0,1995-06-16,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]",1995,Action
Blue in the Face,2000000.0,1275000.0,1995-09-15,"[{'id': 35, 'name': 'Comedy'}]",1995,Comedy
